Store,DayOfWeek,Date,Sales,Open,Promo,StateHoliday,SchoolHoliday
695,1,2014-09-22,4236,1,0,0,0
961,3,2013-12-11,6411,1,0,0,0
784,6,2015-07-25,4031,1,0,0,0
728,5,2014-03-28,5075,1,0,0,0
283,1,2013-05-27,7863,1,1,0,1
456,6,2013-06-15,5575,1,0,0,0
458,5,2015-03-20,7955,1,1,0,0
1070,5,2013-07-05,6700,1,1,0,1
999,4,2013-11-28,8432,1,0,0,0
66,4,2015-04-02,8215,1,1,0,1
693,3,2013-12-18,11071,1,1,0,0
665,2,2013-02-12,6766,1,0,0,0
1102,2,2014-04-01,8485,1,1,0,0
428,1,2013-02-04,6410,1,1,0,0
24,4,2014-07-24,7448,1,0,0,1
431,4,2013-06-27,9234,1,0,0,0
1032,6,2013-04-13,4289,1,0,0,0
12,5,2013-11-15,5800,1,0,0,0
56,6,2013-04-13,7457,1,0,0,0
476,4,2013-07-25,4573,1,0,0,1
396,2,2014-02-25,8733,1,0,0,0
296,3,2013-10-23,5935,1,1,0,1
713,3,2015-07-01,11512,1,1,0,1
633,5,2013-12-20,10906,1,1,0,0
96,4,2013-09-12,5784,1,1,0,0
790,3,2014-04-23,5180,1,0,0,1
202,6,2013-05-11,6215,1,0,0,0
252,5,2014-05-09,12814,1,1,0,0
548,4,2013-10-17,3036,1,0,0,1
491,6,2013-06-29,6447,1,0,0,0
976,3,2014-07-16,8820,1,1,0,1
252,3,2013-10-02,10327,1,0,0,0
777,3,2014-04-23,2962,1,0,0,1
961,3,2014-01-29,5014,1,0,0,0
1037,6,2015-01-10,4662,1,0,0,0
671,2,2013-06-25,4541,1,0,0,0
862,2,2013-10-15,6823,1,0,0,1
114,3,2013-07-24,3673,1,0,0,1
120,2,2014-09-09,5426,1,0,0,0
406,6,2013-05-11,5437,1,0,0,0
617,6,2014-05-03,3294,1,0,0,0
1087,1,2014-03-31,10124,1,1,0,0
442,1,2014-11-10,4182,1,1,0,0
158,1,2014-10-06,8784,1,1,0,0
254,3,2015-02-18,3054,1,1,0,0
6,2,2013-08-06,5376,1,0,0,1
362,5,2013-06-21,7865,1,1,0,0
812,3,2013-08-28,6471,1,1,0,0
807,4,2014-09-11,7541,1,0,0,0
679,2,2013-11-05,12008,1,1,0,0
1,3,2014-03-05,4916,1,1,0,0
623,3,2014-02-26,6819,1,0,0,0
885,6,2014-06-07,6005,1,0,0,0
840,3,2013-01-30,6478,1,0,0,0
995,5,2013-04-05,8120,1,0,0,1
404,4,2014-07-10,4591,1,0,0,0
202,2,2014-05-06,6485,1,1,0,0
430,2,2015-01-27,7928,1,1,0,0
372,6,2015-01-17,8704,1,0,0,0
546,1,2014-04-28,18815,1,1,0,0
346,2,2014-06-17,8385,1,1,0,0
754,4,2015-07-23,6105,1,0,0,1
922,5,2013-09-13,7602,1,1,0,0
884,3,2013-05-22,4379,1,0,0,1
64,5,2014-08-29,11076,1,0,0,0
576,4,2014-09-25,4331,1,0,0,0
133,1,2013-09-02,4649,1,0,0,0
449,4,2013-07-04,12849,1,1,0,0
593,5,2014-05-16,7735,1,0,0,0
473,1,2014-11-24,5352,1,1,0,0
887,4,2013-12-05,9583,1,1,0,0
242,4,2015-02-26,2519,1,0,0,0
341,1,2015-04-27,7254,1,1,0,0
634,3,2014-11-12,7449,1,1,0,0
101,1,2013-03-18,8145,1,1,0,0
745,2,2015-07-14,8891,1,1,0,1
251,5,2015-02-27,17580,1,0,0,0
525,4,2015-07-02,9978,1,1,0,0
897,4,2013-11-07,3911,1,1,0,0
866,6,2013-01-05,5734,1,0,0,1
376,5,2013-03-22,9683,1,1,0,0
1060,3,2014-01-22,7222,1,1,0,0
726,6,2014-02-22,5270,1,0,0,0
9,1,2013-05-06,5292,1,0,0,0
1062,2,2013-07-16,7804,1,1,0,1
1022,2,2015-05-05,8464,1,1,0,0
503,5,2013-11-22,7626,1,1,0,0
364,1,2014-02-10,3315,1,0,0,0
373,6,2013-04-13,4237,1,0,0,0
331,3,2014-07-23,4739,1,0,0,0
218,2,2013-02-12,2953,1,0,0,1
1059,5,2013-04-26,9268,1,1,0,0
681,6,2013-01-12,1524,1,0,0,0
445,2,2013-12-10,9536,1,0,0,0
984,6,2013-09-21,4647,1,0,0,0
392,2,2015-04-14,9175,1,1,0,0
842,4,2015-05-07,19795,1,1,0,0
293,3,2014-07-23,4286,1,0,0,1
1105,2,2014-01-21,5476,1,1,0,0
250,6,2013-04-06,7537,1,0,0,0
703,6,2014-04-05,1867,1,0,0,0
982,5,2014-04-04,9097,1,1,0,0
255,3,2014-09-24,4160,1,0,0,0
749,3,2014-12-31,3155,1,0,0,1
921,1,2015-03-09,10194,1,0,0,0
411,4,2014-05-08,9291,1,1,0,0
445,3,2014-02-12,6374,1,0,0,0
354,1,2013-09-23,9979,1,1,0,0
796,1,2013-09-09,10989,1,1,0,0
23,2,2014-02-04,6959,1,1,0,0
464,4,2014-02-20,9740,1,1,0,0
507,5,2014-01-10,9595,1,1,0,0
381,2,2014-04-01,11175,1,1,0,0
72,2,2015-03-03,6204,1,1,0,0
62,6,2014-02-15,3856,1,0,0,0
820,2,2013-08-27,12284,1,1,0,1
152,2,2014-05-06,7715,1,1,0,0
183,1,2015-05-04,7466,1,1,0,0
205,1,2014-02-10,5782,1,0,0,0
440,6,2014-09-13,3435,1,0,0,0
136,5,2015-06-05,7753,1,1,0,1
755,4,2014-06-26,8069,1,0,0,0
196,2,2013-05-14,5966,1,1,0,0
777,3,2014-04-16,5322,1,1,0,1
658,5,2015-06-05,7754,1,1,0,0
331,1,2013-02-25,5218,1,0,0,0
700,4,2013-09-12,5587,1,1,0,0
724,4,2013-05-23,5645,1,0,0,0
617,6,2015-01-10,3056,1,0,0,0
1050,1,2014-06-02,12136,1,1,0,0
1089,5,2014-03-14,8697,1,0,0,0
794,2,2015-01-27,3077,1,1,0,0
382,1,2014-10-20,11529,1,1,0,0
568,1,2014-04-28,5345,1,1,0,0
234,3,2013-02-20,11578,1,1,0,0
138,3,2013-06-19,6343,1,1,0,0
110,1,2014-06-02,6189,1,1,0,0
279,5,2014-02-28,7455,1,0,0,0
617,3,2013-06-26,5862,1,0,0,0
73,2,2014-09-23,4007,1,0,0,0
842,2,2014-02-25,13117,1,0,0,0
561,5,2013-01-18,6142,1,0,0,0
574,1,2015-04-27,12104,1,1,0,0
521,1,2013-10-07,6710,1,1,0,1
139,5,2015-07-24,6802,1,0,0,0
371,3,2013-04-10,6824,1,1,0,0
987,6,2013-04-20,4157,1,0,0,0
889,3,2014-10-01,4813,1,1,0,0
1114,6,2014-01-11,19323,1,0,0,0
748,5,2014-05-09,7248,1,1,0,0
823,6,2014-09-13,4177,1,0,0,0
516,1,2015-02-16,8382,1,1,0,0
834,6,2015-02-21,3368,1,0,0,0
153,1,2015-03-23,4486,1,0,0,0
950,2,2014-05-20,6763,1,1,0,0
461,4,2013-02-28,4457,1,0,0,0
1076,3,2015-06-10,3407,1,0,0,0
370,3,2013-05-08,7845,1,0,0,0
30,2,2013-07-02,7917,1,1,0,0
375,2,2013-07-09,8749,1,0,0,0
807,6,2014-05-03,10719,1,0,0,0
37,2,2013-09-17,4375,1,0,0,0
979,3,2013-06-05,5873,1,1,0,0
422,3,2013-07-17,3794,1,1,0,1
722,4,2013-11-28,10102,1,0,0,0
484,2,2014-12-16,11234,1,1,0,0
984,1,2013-11-04,7753,1,1,0,0
128,4,2015-05-21,8021,1,1,0,0
639,5,2014-05-16,4104,1,0,0,0
465,3,2014-10-22,8581,1,1,0,1
911,2,2013-10-22,9490,1,1,0,0
1047,2,2014-05-13,3912,1,0,0,0
1095,3,2014-01-08,5607,1,1,0,0
1017,2,2014-01-14,6078,1,0,0,0
3,5,2014-04-04,7562,1,1,0,0
541,6,2015-01-31,7149,1,0,0,0
152,6,2013-08-24,2763,1,0,0,0
863,6,2013-01-05,5582,1,0,0,0
49,2,2013-08-13,8241,1,1,0,1
475,3,2015-01-28,6188,1,1,0,0
1065,5,2015-03-27,4222,1,0,0,0
37,6,2014-10-11,7935,1,0,0,0
713,4,2015-04-30,13811,1,1,0,0
938,2,2013-01-15,7254,1,0,0,0
448,4,2013-05-02,10322,1,1,0,0
339,5,2013-09-20,3957,1,0,0,0
797,3,2013-06-26,2950,1,0,0,0
1110,5,2013-08-09,3204,1,0,0,0
218,4,2015-07-09,5218,1,0,0,0
310,7,2013-02-10,2073,1,0,0,0
674,5,2014-09-05,9730,1,1,0,0
752,3,2013-09-18,3183,1,0,0,0
22,6,2014-02-15,3448,1,0,0,0
929,4,2014-04-03,6360,1,1,0,0
939,5,2013-06-14,5726,1,0,0,0
518,6,2013-01-12,5607,1,0,0,0
148,6,2014-05-17,7401,1,0,0,0
753,6,2014-07-05,8039,1,0,0,0
632,5,2013-06-07,6798,1,1,0,0
937,5,2014-05-02,11601,1,1,0,0
596,3,2014-06-11,3720,1,0,0,0
5,2,2014-08-05,6108,1,1,0,1
122,2,2014-09-30,8380,1,1,0,0
967,5,2015-07-17,6990,1,1,0,1
535,2,2015-03-03,9714,1,1,0,0
1028,5,2013-03-22,4308,1,1,0,0
221,3,2013-09-25,4568,1,1,0,0
1064,6,2013-07-06,7774,1,0,0,0
413,2,2013-05-14,8074,1,1,0,0
920,6,2014-01-25,5403,1,0,0,0
689,3,2013-04-10,7428,1,1,0,0
1041,1,2014-06-16,7001,1,1,0,1
295,1,2014-04-28,6597,1,1,0,0
891,4,2015-03-19,7057,1,1,0,0
506,6,2014-07-12,5124,1,0,0,0
3,5,2014-04-25,5241,1,0,0,1
1102,5,2015-04-17,5889,1,1,0,0
223,3,2013-10-09,8550,1,1,0,0
72,6,2013-02-23,1782,1,0,0,0
924,2,2013-05-28,6072,1,1,0,0
599,2,2015-03-10,6665,1,0,0,0
807,3,2013-09-25,8846,1,1,0,0
495,3,2015-07-15,6428,1,1,0,0
1106,4,2014-02-27,4482,1,0,0,0
808,1,2013-03-11,5452,1,0,0,0
476,1,2013-09-30,5749,1,0,0,0
479,2,2014-04-01,13510,1,1,0,0
834,5,2014-11-21,5419,1,0,0,0
871,2,2013-04-09,4665,1,1,0,0
639,5,2015-07-03,5047,1,1,0,1
900,4,2014-05-22,5906,1,1,0,0
725,4,2013-04-04,5197,1,0,0,1
1105,5,2014-09-19,4805,1,1,0,0
908,6,2015-07-25,1943,1,0,0,0
690,2,2014-03-04,9363,1,1,0,0
181,6,2015-05-30,3215,1,0,0,0
222,2,2013-12-31,3248,1,0,0,1
361,2,2014-12-16,9522,1,1,0,0
499,3,2013-04-10,4540,1,1,0,0
587,1,2013-06-10,8307,1,0,0,0
790,6,2013-12-28,7630,1,0,0,1
662,6,2014-07-12,6043,1,0,0,0
834,3,2015-04-08,5845,1,0,0,1
705,5,2013-08-23,5349,1,0,0,1
759,3,2014-09-17,7062,1,1,0,0
333,1,2013-06-03,12318,1,1,0,0
897,4,2013-06-13,2108,1,0,0,0
180,5,2015-04-10,6202,1,0,0,0
441,3,2014-11-26,6788,1,1,0,0
56,1,2013-08-26,8774,1,1,0,0
1084,1,2014-07-14,7972,1,1,0,0
499,5,2014-10-10,5655,1,1,0,0
552,2,2013-10-29,5494,1,0,0,0
82,3,2013-11-13,6910,1,0,0,0
927,5,2013-01-25,5949,1,1,0,0
359,6,2014-05-10,8631,1,0,0,0
671,5,2014-02-07,5880,1,1,0,0
83,3,2013-08-21,3205,1,0,0,1
355,6,2015-07-25,6327,1,0,0,0
767,3,2014-07-23,4635,1,0,0,1
47,6,2013-08-03,6249,1,0,0,0
1071,2,2014-12-30,6322,1,0,0,1
238,1,2015-03-09,6992,1,0,0,0
513,6,2013-01-26,18313,1,0,0,0
647,3,2013-07-10,4012,1,0,0,1
737,2,2015-04-28,8047,1,1,0,0
254,1,2015-06-08,2495,1,0,0,0
959,3,2013-09-25,7667,1,1,0,0
319,5,2014-03-21,7204,1,1,0,0
369,4,2014-01-16,4974,1,0,0,0
785,6,2014-12-20,10809,1,0,0,0
154,5,2015-07-31,10751,1,1,0,1
953,1,2013-03-04,9044,1,1,0,0
709,5,2013-07-12,7604,1,0,0,1
2,6,2015-06-06,2641,1,0,0,0
91,5,2015-07-10,4035,1,0,0,0
1095,3,2014-03-12,4004,1,0,0,0
487,1,2014-11-10,8566,1,1,0,0
513,4,2015-07-30,17623,1,1,0,1
642,2,2014-04-01,4649,1,1,0,0
161,6,2014-04-05,7286,1,0,0,0
606,4,2014-07-03,6071,1,1,0,0
470,2,2013-01-15,8621,1,0,0,0
102,6,2015-01-10,5217,1,0,0,0
1040,3,2015-04-22,6804,1,0,0,0
661,2,2014-01-28,5155,1,0,0,0
1062,1,2013-02-04,10315,1,1,0,0
339,3,2014-04-16,6066,1,1,0,1
1042,1,2013-12-30,6999,1,0,0,1
42,4,2014-03-27,8275,1,0,0,0
614,3,2015-01-14,6622,1,1,0,0
195,6,2013-02-09,10094,1,0,0,0
985,6,2014-01-11,9171,1,0,0,0
1005,2,2013-06-04,8002,1,1,0,0
1009,3,2014-01-08,6250,1,1,0,0
129,6,2015-03-14,6597,1,0,0,0
412,5,2013-12-27,11468,1,0,0,1
803,1,2015-05-18,8619,1,1,0,0
935,4,2013-04-04,4973,1,0,0,1
439,2,2013-02-12,5951,1,0,0,0
326,6,2014-04-26,4709,1,0,0,0
816,3,2015-02-25,4155,1,0,0,0
781,4,2015-07-02,5697,1,1,0,0
878,2,2014-03-04,11546,1,1,0,0
927,4,2014-04-10,5342,1,0,0,0
489,6,2014-12-27,4258,1,0,0,0
947,2,2014-03-18,7311,1,1,0,0
220,1,2013-06-24,3707,1,0,0,0
873,3,2014-09-03,4476,1,1,0,0
603,4,2014-02-06,8877,1,1,0,0
677,5,2013-06-14,8188,1,0,0,0
30,1,2013-10-07,8163,1,1,0,0
350,5,2013-02-15,5635,1,0,0,0
585,1,2013-07-22,4530,1,0,0,1
717,2,2015-03-17,6717,1,1,0,0
951,4,2013-08-01,8788,1,1,0,1
789,3,2014-03-05,3484,1,1,0,0
542,1,2015-03-23,6041,1,0,0,0
1104,3,2014-04-09,3813,1,0,0,0
40,3,2014-07-23,4035,1,0,0,1
453,4,2015-03-12,5483,1,0,0,0
267,6,2014-07-12,10165,1,0,0,0
875,6,2014-12-27,2992,1,0,0,0
525,5,2014-09-05,10205,1,1,0,0
1106,3,2013-07-31,5544,1,1,0,1
7,4,2014-12-04,11994,1,1,0,0
612,6,2014-02-22,6530,1,0,0,0
998,5,2014-08-01,5262,1,1,0,1
288,6,2014-04-26,4532,1,0,0,0
667,6,2014-08-30,8822,1,0,0,0
559,1,2013-08-05,5515,1,0,0,1
978,4,2014-01-09,7752,1,1,0,0
307,5,2014-08-08,3295,1,1,0,1
247,5,2014-09-19,9360,1,1,0,0
1098,1,2013-08-05,5160,1,0,0,1
240,3,2014-05-21,5636,1,1,0,0
483,1,2014-04-14,7279,1,1,0,1
812,2,2013-07-30,7816,1,1,0,1
366,5,2014-12-05,11965,1,1,0,0
1056,5,2015-04-17,5603,1,1,0,0
596,2,2014-07-15,5010,1,1,0,1
136,6,2013-08-03,4959,1,0,0,0
308,5,2013-03-01,8988,1,0,0,0
422,4,2013-08-29,4304,1,1,0,0
592,4,2015-03-05,5852,1,1,0,0
784,1,2015-06-15,12508,1,1,0,0
550,1,2014-02-10,4729,1,0,0,0
783,6,2014-01-11,5489,1,0,0,0
1113,1,2013-12-30,9247,1,0,0,1
836,1,2013-05-06,6107,1,0,0,0
97,1,2015-07-20,5547,1,0,0,1
4,4,2013-05-16,8839,1,1,0,0
248,6,2014-07-12,7036,1,0,0,0
691,1,2013-09-30,8414,1,0,0,0
770,5,2015-01-16,7694,1,1,0,0
107,1,2015-03-09,6907,1,0,0,0
521,5,2013-04-19,4352,1,0,0,0
1086,2,2013-07-23,7471,1,0,0,1
631,3,2015-06-03,7774,1,1,0,0
116,4,2015-07-02,7931,1,1,0,0
668,1,2015-04-13,13533,1,1,0,0
997,3,2014-11-19,3546,1,0,0,0
422,1,2013-03-11,3787,1,0,0,0
379,3,2013-04-10,4190,1,1,0,0
929,1,2014-09-01,9556,1,1,0,0
80,4,2014-07-17,8051,1,1,0,0
317,3,2013-07-10,3469,1,0,0,0
7,6,2014-06-28,6696,1,0,0,0
714,1,2014-08-11,3619,1,0,0,1
578,2,2015-07-07,9727,1,0,0,0
780,3,2013-11-13,4791,1,0,0,0
227,5,2014-07-04,7104,1,1,0,0
214,4,2013-12-19,14583,1,1,0,0
667,4,2015-01-08,9181,1,1,0,0
757,4,2014-11-27,7673,1,1,0,0
270,3,2014-02-19,9230,1,1,0,0
705,5,2013-10-11,8088,1,1,0,0
805,3,2013-06-12,5032,1,0,0,0
11,6,2014-02-22,5675,1,0,0,0
212,1,2015-06-29,6266,1,1,0,0
915,1,2015-07-27,8317,1,1,0,0
147,4,2013-04-11,7402,1,1,0,0
305,4,2014-03-20,5232,1,1,0,0
893,5,2014-05-02,7291,1,1,0,0
921,6,2013-12-14,5997,1,0,0,0
700,6,2014-01-18,2404,1,0,0,0
440,3,2014-03-26,3823,1,0,0,0
241,4,2013-10-31,6287,1,0,0,1
756,6,2014-08-09,17000,1,0,0,0
607,5,2013-06-14,2526,1,0,0,0
958,4,2015-04-16,4221,1,1,0,0
533,6,2014-01-04,6143,1,0,0,0
336,5,2014-11-07,14358,1,1,0,0
571,2,2014-06-24,5346,1,0,0,0
167,6,2015-03-14,5407,1,0,0,0
1030,5,2013-12-06,3297,1,1,0,0
741,3,2014-08-13,5776,1,0,0,1
685,5,2014-01-10,7161,1,1,0,0
